Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
1,-92,-15,2,11,-71,2,5
1,-91,-14,-1,11,-71,0,0
1,-91,-14,-1,11,-71,0,0
1,-93,-16,-3,11,-71,0,0
1,-93,-16,-3,11,-71,0,0
1,-93,-15,-5,11,-71,0,0
1,-93,-15,-5,11,-71,0,0
1,-92,-13,1,11,-71,0,0
1,-92,-13,1,9,-73,0,0
1,-91,-16,3,9,-73,0,0
1,-91,-16,3,12,-71,0,0
1,-90,-15,-7,11,-73,0,0
1,-90,-15,-7,15,-71,1,0
1,-90,-14,-2,15,-71,0,0
1,-90,-14,-2,15,-71,0,0
1,-92,-10,2,15,-71,15,27
1,-92,-10,2,15,-71,2,4
1,-91,-11,4,15,-71,25914,151
1,-91,-11,4,14,-73,2,4
1,-91,-11,2,14,-73,0,0
1,-91,-11,2,14,-73,2,4
1,-91,-11,2,14,-73,0,0
1,-91,-11,2,14,-73,0,0
1,-91,-13,-8,8,-71,0,0
1,-91,-13,-8,11,-73,0,0
1,-92,-11,0,11,-73,0,0
1,-92,-11,0,11,-73,2,4
1,-93,-12,-2,12,-71,0,0
1,-93,-12,-2,12,-71,2,4
1,-90,-11,4,15,-73,2,4
1,-90,-11,4,15,-73,0,0
1,-91,-13,0,15,-73,0,0
1,-93,-14,-8,10,-71,0,0
1,-90,-12,2,10,-71,0,0
1,-90,-12,2,10,-71,0,0
1,-92,-14,1,10,-71,0,0
1,-92,-14,1,10,-71,0,0
1,-93,-13,-3,10,-71,0,0
1,-93,-13,-3,8,-74,0,0
1,-91,-16,-9,8,-74,0,0
1,-91,-16,-9,8,-70,0,0
1,-91,-13,1,11,-74,20964,97
1,-91,-13,1,11,-71,15650,69
1,-93,-14,-1,11,-71,1,3
1,-93,-14,-1,11,-71,0,0
1,-93,-14,-1,9,-74,0,0
1,-93,-14,-1,9,-71,0,0
1,-91,-12,1,9,-71,0,0
1,-91,-12,1,9,-71,0,0
1,-93,-12,-2,9,-71,542,26
1,-93,-12,-2,9,-71,9,202
1,-92,-16,2,9,-71,0,0
1,-92,-16,2,9,-71,0,0
1,-91,-13,1,9,-74,15,26
1,-91,-13,1,13,-76,0,0
1,-90,-18,-2,13,-76,0,0
1,-90,-18,-2,12,-71,0,0
1,-93,-13,1,12,-71,2,5
1,-93,-13,1,12,-71,0,0
1,-94,-13,-2,12,-71,0,0
1,-94,-13,-2,12,-71,2,4
1,-90,-15,1,12,-71,0,0
1,-90,-15,1,12,-71,0,0
1,-90,-12,-3,12,-71,2,1
1,-90,-12,-3,12,-74,0,0
1,-92,-14,0,11,-69,0,0
1,-92,-14,0,13,-71,0,0
1,-92,-13,2,13,-71,0,0
1,-92,-13,2,13,-71,0,0
1,-91,-13,-2,12,-73,0,0
1,-91,-13,-2,12,-73,0,0
1,-91,-15,-1,13,-71,0,0
1,-91,-15,-1,13,-71,0,0
1,-92,-17,-12,13,-71,0,0
1,-92,-17,-12,11,-76,0,0
1,-93,-12,-4,11,-72,0,0
1,-93,-12,-4,11,-72,2,4
1,-94,-15,0,11,-72,0,0
